Publisher
A. Rivers
Alfieri & Lacroix
American Book Co.
American News Company
American Publishing Company
American Tract Society
Ams Press Inc
B.B. Russell
Blair Publishing Company
"Booklab, Inc."
C.L. Webster & Company
Chapman & Hall
Charles Scribner Company
Charles Scribner's Sons
Chatto & Windus
Clarendon Press
Cornell University Press
D. Appleton & Company
D. Estes & Company
D.C. Heath & Co.
Da Capo Press
Derby & Jackson
"Dodd, Mead & Company"
"Doubleday, Page & Co."
Duffield & Co.
"E.F. Kalmus Orchestra Scores, Inc"
Estab. tip. de El Progreso
F. Vieweg
F.H. Revell
"Fields, Osgood and Company"
Forbes & Company
Funk & Wagnalls
G. Munro's Sons
G. Reimer
G. Richards
G. Routledge
G.P. Putnam
G.P. Putnam's Sons
Gauthier-Villars
Gauthier-Villars et fils
George A. Bates
George H. Doran Company
Ginn & Company
H. Holt and Co.
H. Long and Brother
H. Stevens & Son
H.G. Bohn
Hachette et cie
Harper & Brothers
Henry Holt and Company
Houghton Mifflin Company
Impr. de A. Pérez Dubrull
Impr. de la Rev. de archivos
Impr. de M. Tello
in typographeo Clarendoniano
J. Murray
J. Winchester
J.B. Lippincott & Co.
J.M. Dent & Sons
J.R. Osgood and Company
"James B. Lyon, State Printer"
"James R. Osgood and Company, Late Ticknor & Fields, and Fields, Osgood & Co."
"K. Paul, Trench, Trübner & Co., Ltd."
L. Kimball Printing Company
L.C. Page and Company
Lawrence and Bullen
"Little, Brown and Co."
"Longman, Green, Longman and Roberts"
"Longman, Rees, Orme, Brown, Green and Longmans"
"Longmans, Green, & Co."
M. Tello***
M. Witmark & Sons
Macmillan and Company
Marshall Jones Co.
N.D. Thompson Publishing Co.
Offices of the Egypt Exploration Fund
"Oliver A. Quayle, State Legislative Printer"
P.F. Collier
"Phillips, Sampson and Company"
Printed for the Camden Society
"Printed for the Camden Society, by J.B. Nichols and Son"
Printed for the Navy Records Society
"Pub. for the Early English Text Society by K. Paul, Trench, Trübner & Co."
"Pub. for the Early English Text Society, by N. Trübner & Co."
"R. Bentley, New Burlington Street"
R.H. Woodward
R.R. Donnelley & Sons
R.S. Peale & Co.
Remington and Co.
Richard Bentley and Son
Roberts Brothers
Royal Historical Society
Rudd and Carleton
S. Sonnenschein & Co.
S.C. Griggs and Company
"Small, Maynard & Co."
"Smith, Elder, & Co."
"State Journal Co., Printers"
State of New York
sumptibus Societatis Camdenensis
T. Nelson
T.B. Peterson
T.B. Peterson & Brothers
The Baker & Taylor Co.
The Bobbs-Merrill Company
The Century Co.
The Century Co.
The Henry Bill Publishing Company
The Johns Hopkins Press
The Walter Scott Publishing Company
Ticknor and Fields
University Press
Vizetelly
W. Heinemann
Williams and Norgate
"Wynkoop, Hallenbeck, Crawford Co. "








































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































