,maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,youngsMod,ph,sec_Mn,sec_Mw,sec_polyDisp,sec_calcMass,sec_massRec,doubleFold
58,20.53,13.518,0.032362,0.033998,1292.0,4.62,16.1,43.1,2.678,20.95,67.2,2.0
59,16.951,11.931,0.0346,0.03415,1429.3,4.53,26.2,64.0,2.446,14.54,46.6,2.0
60,28.622,31.87,0.038062,0.051554,2541.0,4.695,19.1,83.2,4.359,18.03,57.8,7.0
61,24.195,26.527,0.036998,0.046608,2303.2,4.66,33.8,159.7,4.725,21.62,69.3,10.0
62,22.587,18.08,0.047916,0.043474,1487.2,5.255,29.3,87.8,3.001,28.36,90.9,10.0
63,16.789,13.774,0.035182,0.032832,1271.0,5.38,34.4,79.2,2.303,14.8,47.4,10.0
64,14.246,9.463,0.0325,0.026823,1074.0,4.555,30.3,63.1,2.08,15.36,49.2,10.0
65,16.501,11.417,0.034976,0.028612,972.24,5.085,13.2,50.5,3.815,7.45,23.9,10.0
66,18.001,15.569,0.029796,0.028142,1634.0,4.74,19.6,53.0,2.705,20.78,66.6,3.0
67,29.197,20.321,0.038456,0.039688,1492.6,4.375,30.7,59.4,1.936,19.76,63.3,2.0
68,27.071,20.656,0.051032,0.062284,1448.1,4.935,35.8,73.8,2.062,6.42,20.6,10.0
69,20.787,22.804,0.0425,0.047776,2056.7,4.695,46.9,98.6,2.103,14.68,47.1,10.0
70,26.372,16.524,0.032874,0.036958,1192.6,4.925,13.5,52.4,3.867,30.66,98.3,3.0
71,28.566,24.446,0.03585,0.036876,1912.0,4.79,14.4,43.9,3.041,14.52,46.6,10.0
72,19.654,11.751,0.033694,0.031772,1628.3,4.635,15.8,74.0,4.682,21.34,68.4,2.0
73,29.275,23.957,0.036228,0.04735,1715.5,4.97,21.9,70.4,3.222,18.45,59.1,10.0
74,19.639,16.885,0.0333,0.031972,2011.0,5.065,16.8,66.7,3.965,17.55,56.2,10.0
75,28.338,27.734,0.038856,0.047096,3198.9,4.55,20.8,59.0,2.839,17.11,54.8,10.0
76,18.797,14.508,0.035258,0.025367,1517.0,4.51,18.6,47.9,2.577,6.97,22.3,10.0
77,22.326,20.571,0.034024,0.036066,2596.1,4.535,31.1,95.1,3.061,16.84,54.0,10.0
78,13.847,12.272,0.027884,0.027724,1798.1,4.445,23.5,71.7,3.056,17.34,55.6,3.0
79,21.583,19.857,0.036834,0.037824,1885.1,4.65,38.3,86.4,2.257,17.03,54.6,10.0
80,27.577,24.257,0.054508,0.07165,1685.3,4.795,52.3,80.9,1.546,9.69,31.1,10.0
81,28.015,24.844,0.056108,0.058204,1740.6,4.745,42.3,89.6,2.119,17.05,54.6,10.0
82,11.659,9.8484,0.035818,0.029426,911.22,5.8,63.6,192.3,3.024,15.35,49.2,10.0
83,15.249,10.855,0.039068,0.039902,1165.9,5.175,50.7,111.2,2.194,16.35,52.4,10.0
84,27.458,19.852,0.044568,0.059568,1266.6,6.61,46.5,100.6,2.164,14.49,46.4,10.0
85,17.84,14.884,0.03688,0.033818,1636.5,7.32,44.8,121.2,2.704,14.67,47.0,10.0
86,18.989,15.334,0.034606,0.031396,1357.0,5.5,22.5,55.8,2.479,15.2,48.7,10.0
87,27.187,21.343,0.031868,0.049294,2227.1,6.21,37.7,80.8,2.144,21.55,69.1,10.0
88,19.776,14.667,0.035646,0.03445,1128.9,4.665,35.2,69.2,1.965,9.73,31.2,10.0
89,15.659,16.364,0.031017,0.026865,1904.4,4.42,21.1,42.9,2.034,17.03,54.6,2.0
90,14.645,16.83,0.03452,0.032056,1552.8,4.505,34.6,73.5,2.125,14.5,46.5,10.0
91,14.531,9.8054,0.027128,0.025364,1078.8,4.44,31.6,59.3,1.877,14.53,46.6,8.0
92,22.095,19.892,0.040752,0.037036,1734.4,4.66,37.9,73.5,1.942,14.96,48.0,10.0
93,25.676,24.817,0.047924,0.047896,1239.1,4.64,48.4,113.8,2.349,16.32,52.3,10.0
94,26.24,23.711,0.039972,0.050282,1408.3,4.76,33.3,75.3,2.263,10.36,33.2,10.0
95,29.04,27.104,0.048694,0.05195,1824.8,4.64,29.5,62.9,2.132,17.2,55.1,10.0
96,28.461,22.136,0.041794,0.05922,1627.1,4.6,38.4,90.8,2.364,21.47,68.8,10.0
97,21.93,20.06,0.048002,0.04904,1771.4,4.68,44.9,76.6,1.706,12.68,40.6,10.0
98,34.314,25.674,0.050308,0.061006,1660.5,4.99,25.4,80.1,3.153,28.58,91.6,10.0
99,19.372,13.866,0.03391,0.033758,1537.5,4.26,28.4,131.2,4.614,19.93,63.9,2.0
