ph,sec_Mn,sec_Mw,sec_polyDisp,energyAbsorp,strainMaxLoad,stressMaxLoad,youngsMod
,36.2,85.6,2.362,0.055270,0.046892,15.832,1424.5
,27.3,77.1,2.824,0.15416,0.067198,37.122,1859.2
,40,138.2,3.454,0.060452,0.040942,23.572,2124.3
4.835,45.1,119.1,2.64,0.054256,0.036330,21.724,1678.6
,31,84.8,2.731,0.059426,0.040548,23.770,1995.2
,33.9,111.9,3.305,0.065052,0.039690,25.136,2580.5
,31.3,114.8,3.667,0.037062,0.031012,14.823,2222.1
,28.1,61.2,2.176,0.046548,0.030868,26.116,2794.0
,22.6,62.8,2.783,0.063130,0.046672,13.553,1290.5
,32.3,124.2,3.846,0.047866,0.032008,21.510,2350.2
4.320,21.6,71.9,3.334,0.067426,0.033748,36.632,3744.5
4.665,28.5,107.9,3.785,0.037744,0.029554,10.825,1497.2
,24.9,80.6,3.238,0.047392,0.035132,16.862,2134.6
,19,83.3,4.392,0.17185,0.065892,49.781,2601.0
,22,170.2,7.743,0.064584,0.055006,29.374,3083.0
,14.7,46.5,3.16,0.13609,0.060996,37.163,2242.8
,27,83.1,3.072,0.067116,0.045726,25.100,2233.2
,25.4,100.3,3.945,,,,
,,,,,,,
,,,,,,,
4.260,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.600,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.865,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.690,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.490,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
9.370,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
9.335,,,,,,,
9.245,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5.340,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.450,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.580,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.580,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.590,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.735,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.235,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.200,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.360,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5.587,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.575,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.980,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.535,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.440,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.475,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.915,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.440,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.740,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.820,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.525,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.490,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
4.695,,,,,,,
