,publisher,maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,youngsMod,ph,sec_Mn,sec_Mw,sec_polyDisp,sec_calcMass,sec_massRec
43,Chatto & Windus,17.833,17.808,0.033252,0.037814,2509.2,4.425,26.6,71.3,2.682,7.0,22.4
44,Clarendon Press,26.482,22.015,0.040588,0.05171,2256.0,4.68,35.1,94.2,2.681,17.41,55.8
45,Clarendon Press,22.854,20.516,0.044483999999999996,0.04353,1628.6,4.76,36.0,79.0,2.197,17.01,54.5
46,Clarendon Press,22.095,19.892,0.040752,0.037036,1734.4,4.66,37.9,73.5,1.942,14.96,48.0
47,Clarendon Press,25.676,24.816999999999997,0.047924,0.047896,1239.1,4.64,48.4,113.8,2.349,16.32,52.3
48,Clarendon Press,26.24,23.711,0.039972,0.050282,1408.3,4.76,33.3,75.3,2.263,10.36,33.2
49,Clarendon Press,29.04,27.104,0.048694,0.05195,1824.8,4.64,29.5,62.9,2.1319999999999997,17.2,55.1
50,Clarendon Press,28.461,22.136,0.041794,0.05922,1627.1,4.6,38.4,90.8,2.364,21.47,68.8
51,Clarendon Press,21.93,20.06,0.048001999999999996,0.04904,1771.4,4.68,44.9,76.6,1.706,12.68,40.6
52,Clarendon Press,19.062,20.732,0.04438,0.04785,2244.0,4.635,27.0,84.7,3.137,20.47,65.6
53,Clarendon Press,32.942,26.02,0.058034,0.083662,1874.1,4.62,36.4,94.8,2.6,22.8,73.1
54,Clarendon Press,32.718,29.953000000000003,0.056044000000000004,0.07558,2451.0,4.65,48.5,87.0,1.794,15.12,48.5
55,Clarendon Press,34.501,29.305999999999997,0.048692,0.08054800000000001,2142.2,4.73,62.0,106.5,1.72,9.86,31.6
56,Clarendon Press,29.285,24.573,0.053362,0.071986,1869.7,4.68,47.4,88.8,1.8719999999999999,16.62,53.3
57,Clarendon Press,29.266,28.601999999999997,0.059932000000000006,0.083886,1951.5,4.74,52.7,99.2,1.882,15.76,50.5
58,Clarendon Press,30.074,27.7,0.043556,0.06514600000000001,3031.0,4.69,20.8,41.7,2.002,7.93,25.4
59,Clarendon Press,35.415,30.075,0.052424,0.080532,3378.8,4.685,39.6,83.4,2.1069999999999998,17.03,54.6
60,Clarendon Press,27.737,23.363000000000003,0.046498000000000005,0.05789,2482.7,4.575,17.2,45.4,2.638,14.83,47.5
61,Clarendon Press,26.914,23.276,0.045028,0.057146,2537.3,4.495,37.4,62.7,1.679,9.71,31.1
62,Clarendon Press,28.432,28.051,0.04131,0.060388,2644.9,4.725,24.6,56.1,2.2840000000000003,18.32,58.7
63,Clarendon Press,32.013000000000005,28.8,0.041296,0.06433,2473.7,4.805,51.6,92.5,1.794,12.18,39.0
64,Clarendon Press,27.531999999999996,26.768,0.043666,0.057510000000000006,2747.6,4.695,52.5,95.7,1.821,14.2,45.5
65,Clarendon Press,33.836,31.736,0.05325,0.082162,1746.6,4.78,72.5,117.0,1.6130000000000002,7.59,24.3
66,Clarendon Press,32.148,30.236,0.05524199999999999,0.075186,1599.7,4.67,47.4,88.3,1.8630000000000002,12.03,38.5
67,Clarendon Press,28.038,23.41,0.046284,0.057367999999999995,1569.3,4.665,59.0,87.3,1.479,6.53,20.9
68,Clarendon Press,28.927,28.201999999999998,0.05511799999999999,0.07178999999999999,1582.7,4.74,45.9,85.2,1.854,9.01,28.9
69,Clarendon Press,28.038,26.147,0.04452,0.0619,3073.1,4.805,59.7,112.8,1.8880000000000001,15.03,48.2
70,Clarendon Press,25.691,24.19,0.039714,0.055976,3040.6,4.61,52.3,83.6,1.599,13.0,41.7
71,Clarendon Press,24.67,23.726,0.036204,0.048648000000000004,2652.0,4.575,34.7,63.1,1.821,7.44,23.8
72,Clarendon Press,34.217,29.656999999999996,0.059546,0.072318,3141.5,5.19,38.4,79.8,2.08,7.45,23.9
73,Clarendon Press,36.675,23.144000000000002,0.030742000000000002,0.057805999999999996,2967.2,4.615,30.9,95.3,3.0810000000000004,10.23,32.8
74,Clarendon Press,50.221000000000004,28.287,0.03825,0.08217200000000001,2916.3,4.53,32.9,109.0,3.3169999999999997,13.38,42.9
75,Clarendon Press,26.454,23.546999999999997,0.039448000000000004,0.045068000000000004,3047.9,4.535,22.0,50.3,2.282,16.0,51.3
76,Clarendon Press,32.851,29.589000000000002,0.055896,0.07169400000000001,2240.8,4.845,24.3,74.2,3.06,12.46,39.9
77,Clarendon Press,28.099,23.373,0.03777,0.062542,2040.8,4.655,25.2,54.2,2.153,12.92,41.4
78,Clarendon Press,27.849,26.305,0.041098,0.059118,2625.9,4.935,19.9,48.6,2.437,9.59,30.8
79,Clarendon Press,29.648000000000003,23.863000000000003,0.04552,0.06275399999999999,2688.3,4.55,23.3,45.4,1.949,6.77,21.7
80,Clarendon Press,40.835,36.18,0.063236,0.090198,3049.1,5.705,34.1,114.7,3.37,16.02,51.4
81,Clarendon Press,26.976,24.384,0.043727999999999996,0.06942000000000001,2453.5,4.86,36.2,85.6,2.362,18.11,58.1
82,Clarendon Press,33.847,21.724,0.03633,0.05425599999999999,1678.6,4.7,31.0,84.8,2.7310000000000003,12.01,38.5
83,Cornell University Press,15.982999999999999,11.685,0.027024,0.03088,1757.7,4.69,24.8,86.3,3.4739999999999998,11.44,36.7
84,Cornell University Press,35.716,29.218000000000004,0.042798,0.06361,2994.4,5.025,23.3,77.6,3.3339999999999996,18.28,58.6
85,Cornell University Press,34.18,26.166999999999998,0.042114,0.056964,2351.0,5.045,29.0,82.4,2.845,17.87,57.3
86,University Press,15.982999999999999,11.685,0.027024,0.03088,1757.7,4.69,24.8,86.3,3.4739999999999998,11.44,36.7
87,University Press,35.716,29.218000000000004,0.042798,0.06361,2994.4,5.025,23.3,77.6,3.3339999999999996,18.28,58.6
88,University Press,34.18,26.166999999999998,0.042114,0.056964,2351.0,5.045,29.0,82.4,2.845,17.87,57.3
