maxLoad,stressMaxLoad,strainMaxLoad,energyAbsorp,ph,sec_Mn,sec_Mw,sec_polyDisp
19.639,16.885,0.0333,0.031972,5.065,16.8,66.7,3.965
19.639,16.885,0.0333,0.031972,5.065,20.8,59.0,2.839
19.639,16.885,0.0333,0.031972,4.55,16.8,66.7,3.965
19.639,16.885,0.0333,0.031972,4.55,20.8,59.0,2.839
28.338,27.734,0.038856,0.047096,5.065,16.8,66.7,3.965
28.338,27.734,0.038856,0.047096,5.065,20.8,59.0,2.839
28.338,27.734,0.038856,0.047096,4.55,16.8,66.7,3.965
28.338,27.734,0.038856,0.047096,4.55,20.8,59.0,2.839
18.797,14.508,0.035258,0.025367,4.51,18.6,47.9,2.577
22.326,20.571,0.034024,0.036066,4.535,31.1,95.1,3.061
13.847,12.272,0.027884,0.027724,4.445,23.5,71.7,3.056
21.583,19.857,0.036834,0.037824,4.65,38.3,86.4,2.257
27.577,24.257,0.054508,0.07165,4.795,52.3,80.9,1.546
28.015,24.844,0.056108,0.058204,4.745,42.3,89.6,2.119
11.659,9.8484,0.035818,0.029426,5.8,63.6,192.3,3.024
11.659,9.8484,0.035818,0.029426,5.8,50.7,111.2,2.194
11.659,9.8484,0.035818,0.029426,5.175,63.6,192.3,3.024
11.659,9.8484,0.035818,0.029426,5.175,50.7,111.2,2.194
15.249,10.855,0.039068,0.039902,5.8,63.6,192.3,3.024
15.249,10.855,0.039068,0.039902,5.8,50.7,111.2,2.194
15.249,10.855,0.039068,0.039902,5.175,63.6,192.3,3.024
15.249,10.855,0.039068,0.039902,5.175,50.7,111.2,2.194
27.458,19.852,0.044568,0.059568,6.61,46.5,100.6,2.164
17.84,14.884,0.03688,0.033818,7.32,44.8,121.2,2.704
18.989,15.334,0.034606,0.031396,5.5,22.5,55.8,2.479
18.989,15.334,0.034606,0.031396,5.5,37.7,80.8,2.144
18.989,15.334,0.034606,0.031396,6.21,22.5,55.8,2.479
18.989,15.334,0.034606,0.031396,6.21,37.7,80.8,2.144
27.187,21.343,0.031868,0.049294,5.5,22.5,55.8,2.479
27.187,21.343,0.031868,0.049294,5.5,37.7,80.8,2.144
27.187,21.343,0.031868,0.049294,6.21,22.5,55.8,2.479
27.187,21.343,0.031868,0.049294,6.21,37.7,80.8,2.144
19.776,14.667,0.035646,0.03445,4.665,35.2,69.2,1.965
15.659,16.364,0.031017,0.026865,4.42,21.1,42.9,2.034
14.645,16.83,0.03452,0.032056,4.505,34.6,73.5,2.125
14.531,9.8054,0.027128,0.025364,4.44,31.6,59.3,1.877
22.095,19.892,0.040752,0.037036,4.66,37.9,73.5,1.942
25.676,24.817,0.047924,0.047896,4.64,48.4,113.8,2.349
26.24,23.711,0.039972,0.050282,4.76,33.3,75.3,2.263
29.04,27.104,0.048694,0.05195,4.64,29.5,62.9,2.132
28.461,22.136,0.041794,0.05922,4.6,38.4,90.8,2.364
21.93,20.06,0.048002,0.04904,4.68,44.9,76.6,1.706
34.314,25.674,0.050308,0.061006,4.99,25.4,80.1,3.153
19.372,13.866,0.03391,0.033758,4.26,28.4,131.2,4.614
21.564,17.885,0.037572,0.042406,4.44,33.7,88.4,2.62
18.206,15.964,0.041822,0.03942,4.565,28.7,85.4,2.978
28.166,20.186,0.038972,0.048518,4.86,39.0,115.7,2.965
23.852,20.546,0.033638,0.03722,4.865,19.9,69.8,3.51
26.93,23.797,0.041112,0.044262,4.71,20.1,80.5,3.996
25.876,18.093,0.035108,0.03657,4.55,19.8,61.5,3.101
28.502,22.66,0.038368,0.040064,5.0,25.1,86.9,3.465
20.348,22.623,0.035286,0.035042,4.4,23.4,51.4,2.194
11.362,9.1316,0.027348,0.020288,4.35,27.1,63.7,2.352
19.062,20.732,0.04438,0.04785,4.635,27.0,84.7,3.137
24.275,24.308,0.04091,0.04283,4.625,23.7,61.9,2.613
22.782,19.956,0.03466,0.026992,4.48,16.2,57.8,3.567
32.52,28.285,0.043766,0.045104,4.51,26.7,77.6,2.906
33.651,29.347,0.047938,0.055976,4.62,31.5,87.3,2.772
29.746,21.001,0.04949,0.071488,4.25,45.9,96.4,2.102
32.923,47.149,0.050378,0.071754,5.26,39.0,140.5,3.604
61.524,31.219,0.03984,0.089132,4.425,37.3,165.5,4.44
15.362,19.213,0.017472,0.013914,4.42,31.1,136.1,4.373
31.267,29.128,0.040462,0.051576,4.45,29.9,110.3,3.693
30.651,29.852,0.028156,0.04435,4.415,36.0,180.5,5.012
33.317,31.486,0.048056,0.066852,6.87,45.8,197.2,4.31
45.029,36.266,0.054366,0.10246,6.775,43.0,172.2,4.004
35.274,27.181,0.038754,0.060022,4.455,29.7,105.0,3.537
48.742,24.773,0.04121,0.07113,4.425,33.2,173.4,5.222
20.359,19.389,0.032468,0.041228,4.565,21.0,59.3,2.827
42.19,26.642,0.044578,0.068276,4.48,22.5,66.9,2.974
29.064,20.109,0.035124,0.043988,4.41,21.4,69.1,3.224
50.125,56.451,0.084284,0.13123,9.26,99.5,495.1,4.978
26.924,27.266,0.03305,0.046158,5.075,32.2,116.5,3.615
25.854,26.768,0.03364,0.039538,4.575,20.7,92.7,4.471
39.097,35.032,0.055998,0.082346,5.025,27.1,108.5,4.009
25.043,26.196,0.049206,0.05384,5.385,68.5,117.3,1.712
33.482,29.634,0.04756,0.069458,4.95,40.7,97.8,2.406
22.127,15.135,0.044678,0.051634,7.385,56.8,101.1,1.781
22.127,15.135,0.044678,0.051634,7.385,34.9,74.8,2.144
22.127,15.135,0.044678,0.051634,4.82,56.8,101.1,1.781
22.127,15.135,0.044678,0.051634,4.82,34.9,74.8,2.144
30.535,25.023,0.040392,0.068836,7.385,56.8,101.1,1.781
30.535,25.023,0.040392,0.068836,7.385,34.9,74.8,2.144
30.535,25.023,0.040392,0.068836,4.82,56.8,101.1,1.781
30.535,25.023,0.040392,0.068836,4.82,34.9,74.8,2.144
18.442,10.889,0.035558,0.033824,4.81,30.0,69.2,2.303
59.545,49.313,0.11025,0.21904,8.215,84.6,382.8,4.527
26.518,29.755,0.043332,0.046756,4.92,29.2,70.1,2.398
27.8,25.224,0.02978,0.043614,4.835,32.0,71.0,2.219
24.422,21.689,0.03129,0.045116,4.32,25.1,60.3,2.4
24.422,21.689,0.03129,0.045116,4.32,30.8,72.0,2.336
24.422,21.689,0.03129,0.045116,4.665,25.1,60.3,2.4
24.422,21.689,0.03129,0.045116,4.665,30.8,72.0,2.336
26.314,20.086,0.025994,0.037318,4.32,25.1,60.3,2.4
26.314,20.086,0.025994,0.037318,4.32,30.8,72.0,2.336
26.314,20.086,0.025994,0.037318,4.665,25.1,60.3,2.4
26.314,20.086,0.025994,0.037318,4.665,30.8,72.0,2.336
43.449,28.027,0.031844,0.06843,4.26,23.8,62.1,2.613
32.031,29.48,0.03994,0.05366,4.6,23.7,52.2,2.208
36.776,31.559,0.055212,0.083052,4.865,51.1,108.0,2.115
28.085,19.388,0.045034,0.054654,4.69,24.4,74.4,3.057
20.952,21.518,0.025626,0.030792,4.49,27.8,72.9,2.626
72.654,56.583,0.093762,0.28566,9.37,118.0,493.2,4.18
67.937,49.993,0.096592,0.2709,9.335,88.6,393.1,4.436
67.937,49.993,0.096592,0.2709,9.335,64.8,469.6,7.245
67.937,49.993,0.096592,0.2709,9.245,88.6,393.1,4.436
67.937,49.993,0.096592,0.2709,9.245,64.8,469.6,7.245
63.273,50.699,0.093342,0.24878,9.335,88.6,393.1,4.436
63.273,50.699,0.093342,0.24878,9.335,64.8,469.6,7.245
63.273,50.699,0.093342,0.24878,9.245,88.6,393.1,4.436
63.273,50.699,0.093342,0.24878,9.245,64.8,469.6,7.245
35.047,28.964,0.039668,0.050556,5.34,28.1,111.1,3.955
24.298,18.346,0.02842,0.04266,4.45,27.2,75.9,2.787
41.551,27.687,0.026484,0.044552,4.58,28.5,129.1,4.521
44.222,28.469,0.047166,0.068514,4.58,27.3,102.7,3.769
48.056,32.784,0.037558,0.067814,4.59,21.9,67.2,3.068
34.803,31.873,0.040934,0.066496,4.735,37.0,81.4,2.199
17.523,15.079,0.018174,0.019482,4.235,20.2,50.5,2.502
19.709,15.463,0.022412,0.029154,4.2,22.8,50.0,2.192
23.025,21.479,0.028118,0.032108,4.36,34.4,62.0,1.803
28.262,25.444,0.069134,0.08315,5.587,68.1,173.4,2.547
31.009,26.901,0.036974,0.05708,4.575,32.5,65.3,2.008
32.796,23.829,0.049142,0.07094,4.98,38.8,80.1,2.068
25.5,22.099,0.027752,0.041272,4.535,38.0,71.9,1.893
23.686,22.307,0.030292,0.040346,4.44,31.4,67.9,2.162
20.76,18.666,0.027948,0.027778,4.475,28.6,64.1,2.24
28.232,23.292,0.045806,0.058762,4.915,48.6,100.4,2.064
18.766,15.157,0.027982,0.032354,4.44,27.7,67.1,2.425
26.47,21.079,0.039502,0.056982,4.74,34.2,71.6,2.094
23.206,27.422,0.052628,0.057572,4.82,35.8,84.2,2.351
30.04,25.779,0.036692,0.056826,4.525,31.4,71.6,2.282
30.223,26.148,0.034166,0.057066,4.49,27.1,62.3,2.297
31.481,28.806,0.03898,0.059478,4.695,26.8,64.6,2.411
21.498,19.677,0.032598,0.041536,4.7,26.3,63.4,2.413
22.482,25.603,0.045694,0.062226,6.33,61.1,121.7,1.991
25.279,29.128,0.04006,0.057494,5.98,32.2,74.8,2.322
26.547,20.377,0.02954,0.042182,4.63,29.7,64.3,2.165
38.136,27.24,0.04942,0.096378,5.805,57.9,130.9,2.262
38.136,27.24,0.04942,0.096378,5.805,34.5,79.3,2.298
38.136,27.24,0.04942,0.096378,5.115,57.9,130.9,2.262
38.136,27.24,0.04942,0.096378,5.115,34.5,79.3,2.298
45.005,28.906,0.049598,0.089392,5.805,57.9,130.9,2.262
45.005,28.906,0.049598,0.089392,5.805,34.5,79.3,2.298
45.005,28.906,0.049598,0.089392,5.115,57.9,130.9,2.262
45.005,28.906,0.049598,0.089392,5.115,34.5,79.3,2.298
22.212,18.274,0.038746,0.051372,6.61,49.9,112.7,2.259
22.212,18.274,0.038746,0.051372,6.61,44.8,93.9,2.097
22.212,18.274,0.038746,0.051372,5.005,49.9,112.7,2.259
22.212,18.274,0.038746,0.051372,5.005,44.8,93.9,2.097
28.861,22.928,0.048552,0.067416,6.61,49.9,112.7,2.259
28.861,22.928,0.048552,0.067416,6.61,44.8,93.9,2.097
28.861,22.928,0.048552,0.067416,5.005,49.9,112.7,2.259
28.861,22.928,0.048552,0.067416,5.005,44.8,93.9,2.097
23.794,19.409,0.04276,0.054966,4.955,41.4,82.8,1.999
31.77,26.968,0.043776,0.06747,5.405,28.9,79.6,2.749
31.77,26.968,0.043776,0.06747,5.405,48.8,84.5,1.73
31.77,26.968,0.043776,0.06747,4.9,28.9,79.6,2.749
31.77,26.968,0.043776,0.06747,4.9,48.8,84.5,1.73
28.789,22.765,0.036542,0.050236,5.405,28.9,79.6,2.749
28.789,22.765,0.036542,0.050236,5.405,48.8,84.5,1.73
28.789,22.765,0.036542,0.050236,4.9,28.9,79.6,2.749
28.789,22.765,0.036542,0.050236,4.9,48.8,84.5,1.73
19.364,14.764,0.033796,0.04264,4.55,26.6,62.4,2.348
24.348,18.277,0.032576,0.048976,4.79,26.0,55.3,2.125
19.842,17.558,0.0289,0.034386,4.435,23.0,48.6,2.12
16.731,13.263,0.036714,0.04382,4.52,30.0,63.5,2.118
23.754,15.328,0.045586,0.057472,5.055,41.5,81.8,1.97
23.754,15.328,0.045586,0.057472,5.055,30.8,70.2,2.275
23.754,15.328,0.045586,0.057472,5.085,41.5,81.8,1.97
23.754,15.328,0.045586,0.057472,5.085,30.8,70.2,2.275
24.571,15.79,0.041398,0.047278,5.055,41.5,81.8,1.97
24.571,15.79,0.041398,0.047278,5.055,30.8,70.2,2.275
24.571,15.79,0.041398,0.047278,5.085,41.5,81.8,1.97
24.571,15.79,0.041398,0.047278,5.085,30.8,70.2,2.275
33.962,29.982,0.05173,0.07921,5.185,46.3,91.8,1.985
28.545,29.134,0.040918,0.054962,4.87,28.1,62.8,2.236
27.365,25.873,0.040684,0.051954,4.795,28.1,63.4,2.257
14.805,14.592,0.019078,0.02013,4.28,22.1,48.2,2.179
22.676,19.503,0.034764,0.047792,4.87,24.9,56.0,2.247
22.033,21.087,0.034592,0.041298,4.505,30.9,67.0,2.166
22.033,21.087,0.034592,0.041298,4.505,37.4,80.2,2.145
22.033,21.087,0.034592,0.041298,4.665,30.9,67.0,2.166
22.033,21.087,0.034592,0.041298,4.665,37.4,80.2,2.145
24.499,22.176,0.036952,0.047306,4.505,30.9,67.0,2.166
24.499,22.176,0.036952,0.047306,4.505,37.4,80.2,2.145
24.499,22.176,0.036952,0.047306,4.665,30.9,67.0,2.166
24.499,22.176,0.036952,0.047306,4.665,37.4,80.2,2.145
28.739,23.407,0.039606,0.061102,4.48,23.9,57.4,2.407
27.351,20.277,0.035844,0.045808,4.22,20.0,44.6,2.232
31.015,23.061,0.034354,0.050248,4.62,22.1,52.8,2.388
34.789,30.819,0.04245,0.06168,4.59,23.5,85.7,3.654
32.942,26.02,0.058034,0.083662,4.62,36.4,94.8,2.6
32.718,29.953,0.056044,0.07558,4.65,48.5,87.0,1.794
34.501,29.306,0.048692,0.080548,4.73,62.0,106.5,1.72
29.285,24.573,0.053362,0.071986,4.68,47.4,88.8,1.872
29.266,28.602,0.059932,0.083886,4.74,52.7,99.2,1.882
43.966,29.446,0.05688,0.10765,5.03,35.0,125.4,3.585
29.424,17.701,0.042342,0.062702,5.16,46.0,88.3,1.919
36.401,23.358,0.041254,0.06983,4.94,28.8,67.0,2.325
21.603,17.24,0.027254,0.037748,4.36,21.0,68.6,3.266
33.924,32.329,0.052904,0.081334,4.89,42.4,84.5,1.994
33.924,32.329,0.052904,0.081334,4.89,49.4,74.8,1.516
33.924,32.329,0.052904,0.081334,4.545,42.4,84.5,1.994
33.924,32.329,0.052904,0.081334,4.545,49.4,74.8,1.516
16.232,19.367,0.03429,0.038388,4.89,42.4,84.5,1.994
16.232,19.367,0.03429,0.038388,4.89,49.4,74.8,1.516
16.232,19.367,0.03429,0.038388,4.545,42.4,84.5,1.994
16.232,19.367,0.03429,0.038388,4.545,49.4,74.8,1.516
15.201,13.689,0.02073,0.022244,4.265,20.3,47.0,2.31
33.967,26.927,0.04498,0.063208,4.975,30.0,78.4,2.612
19.388,18.678,0.025374,0.03216,4.39,17.8,47.0,2.642
24.926,17.612,0.030932,0.041406,4.285,19.5,42.0,2.155
34.395,24.463,0.040208,0.072884,4.76,32.0,82.7,2.58
22.208,21.086,0.032426,0.042366,4.795,29.0,65.3,2.252
29.693,17.815,0.037832,0.05177,4.735,25.0,54.8,2.192
46.044,28.764,0.047208,0.095306,4.785,27.1,65.2,2.411
28.492,28.901,0.035652,0.053988,4.59,21.3,52.2,2.452
26.733,25.776,0.034866,0.051626,4.845,44.2,90.6,2.049
32.804,25.234,0.037344,0.056012,4.61,22.1,52.3,2.368
30.651,25.923,0.040768,0.057354,4.735,21.2,53.3,2.509
17.397,19.551,0.02989,0.034656,4.38,22.2,49.3,2.221
10.155,8.703,0.015986,0.014588,4.305,26.9,48.7,1.81
30.074,27.7,0.043556,0.065146,4.69,20.8,41.7,2.002
26.948,27.444,0.039328,0.05321,4.78,21.9,64.2,2.936
16.687,15.114,0.031498,0.0351,4.445,25.8,55.7,2.161
16.687,15.114,0.031498,0.0351,4.445,23.3,52.3,2.247
16.687,15.114,0.031498,0.0351,4.445,25.8,55.7,2.161
16.687,15.114,0.031498,0.0351,4.445,23.3,52.3,2.247
22.582,21.058,0.03052,0.039486,4.445,25.8,55.7,2.161
22.582,21.058,0.03052,0.039486,4.445,23.3,52.3,2.247
22.582,21.058,0.03052,0.039486,4.445,25.8,55.7,2.161
22.582,21.058,0.03052,0.039486,4.445,23.3,52.3,2.247
25.632,24.307,0.039076,0.04738,4.695,29.6,77.1,2.604
25.632,24.307,0.039076,0.04738,4.695,30.6,59.3,1.94
25.632,24.307,0.039076,0.04738,4.285,29.6,77.1,2.604
25.632,24.307,0.039076,0.04738,4.285,30.6,59.3,1.94
12.44,10.094,0.014766,0.011928,4.695,29.6,77.1,2.604
12.44,10.094,0.014766,0.011928,4.695,30.6,59.3,1.94
12.44,10.094,0.014766,0.011928,4.285,29.6,77.1,2.604
12.44,10.094,0.014766,0.011928,4.285,30.6,59.3,1.94
28.406,26.549,0.035912,0.048404,4.415,26.6,89.6,3.371
21.438,20.276,0.03035,0.04034,4.36,23.6,74.5,3.16
40.232,35.084,0.043626,0.066932,4.52,32.0,75.4,2.353
40.722,35.71,0.0435,0.073252,4.52,26.5,79.9,3.012
40.035,28.854,0.05877,0.12353,4.395,49.2,108.5,2.203
34.006,27.218,0.040712,0.050282,4.81,20.2,60.5,2.99
44.875,58.135,0.062648,0.10181,5.6,38.5,126.2,3.275
41.787,32.939,0.05395,0.083764,4.935,37.0,160.0,4.328
